# Notes : 
#Entity List : 3 of 29 Filtered on Flags [Present] 
#Interpretation : Sample  (Non-averaged)
#Experiment : Quant - Green Tea All Compounds_SBAQ_Area
#Data to filter on : Raw Data
#Lower cut-off: 20000.0
#Upper cut-off: 63766108.0
#Entities where at least 3 out of 29 samples have values within cut-off
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.Quant All Tea Compounds_2022_Feb_06_15_19_59
# Owner : gxuser
# Created On : Mon Feb 07 10:43:18 MST 2022
Compound	report.results_GT_001_SBAQ_1(raw)	report.results_GT_001_SBAQ_10(raw)	report.results_GT_001_SBAQ_11(raw)	report.results_GT_001_SBAQ_12(raw)	report.results_GT_001_SBAQ_13(raw)	report.results_GT_001_SBAQ_14(raw)	report.results_GT_001_SBAQ_15(raw)	report.results_GT_001_SBAQ_16(raw)	report.results_GT_001_SBAQ_17(raw)	report.results_GT_001_SBAQ_18(raw)	report.results_GT_001_SBAQ_19(raw)	report.results_GT_001_SBAQ_2(raw)	report.results_GT_001_SBAQ_20(raw)	report.results_GT_001_SBAQ_21(raw)	report.results_GT_001_SBAQ_22(raw)	report.results_GT_001_SBAQ_23(raw)	report.results_GT_001_SBAQ_24(raw)	report.results_GT_001_SBAQ_25(raw)	report.results_GT_001_SBAQ_26(raw)	report.results_GT_001_SBAQ_27(raw)	report.results_GT_001_SBAQ_28(raw)	report.results_GT_001_SBAQ_29(raw)	report.results_GT_001_SBAQ_3(raw)	report.results_GT_001_SBAQ_4(raw)	report.results_GT_001_SBAQ_5(raw)	report.results_GT_001_SBAQ_6(raw)	report.results_GT_001_SBAQ_7(raw)	report.results_GT_001_SBAQ_8(raw)	report.results_GT_001_SBAQ_9(raw)	report.results_GT_001_SBAQ_1: Log2(normalized)	report.results_GT_001_SBAQ_10: Log2(normalized)	report.results_GT_001_SBAQ_11: Log2(normalized)	report.results_GT_001_SBAQ_12: Log2(normalized)	report.results_GT_001_SBAQ_13: Log2(normalized)	report.results_GT_001_SBAQ_14: Log2(normalized)	report.results_GT_001_SBAQ_15: Log2(normalized)	report.results_GT_001_SBAQ_16: Log2(normalized)	report.results_GT_001_SBAQ_17: Log2(normalized)	report.results_GT_001_SBAQ_18: Log2(normalized)	report.results_GT_001_SBAQ_19: Log2(normalized)	report.results_GT_001_SBAQ_2: Log2(normalized)	report.results_GT_001_SBAQ_20: Log2(normalized)	report.results_GT_001_SBAQ_21: Log2(normalized)	report.results_GT_001_SBAQ_22: Log2(normalized)	report.results_GT_001_SBAQ_23: Log2(normalized)	report.results_GT_001_SBAQ_24: Log2(normalized)	report.results_GT_001_SBAQ_25: Log2(normalized)	report.results_GT_001_SBAQ_26: Log2(normalized)	report.results_GT_001_SBAQ_27: Log2(normalized)	report.results_GT_001_SBAQ_28: Log2(normalized)	report.results_GT_001_SBAQ_29: Log2(normalized)	report.results_GT_001_SBAQ_3: Log2(normalized)	report.results_GT_001_SBAQ_4: Log2(normalized)	report.results_GT_001_SBAQ_5: Log2(normalized)	report.results_GT_001_SBAQ_6: Log2(normalized)	report.results_GT_001_SBAQ_7: Log2(normalized)	report.results_GT_001_SBAQ_8: Log2(normalized)	report.results_GT_001_SBAQ_9: Log2(normalized)	Compound Name	Retention Time	Measured Retention Time	Product Mass	QualifierMass	CASNumber	CompoundType	ISTDCompoundName	Mass Column
Lysyl-Glycine_2.114	786060.3	1174676.2	634153.25	654046.25	678035.0	1058193.9	1085963.4	1053267.8	840701.2	844410.2	977515.56	1369520.2	621321.94	610478.8	1414313.6	1251811.6	985517.94	1125570.4	778915.25	1293620.1	1055450.4	1207775.9	1209604.2	1397508.5	818535.75	1336398.0	506610.97	888459.2	963612.44	19.58428	20.163832	19.274473	19.319033	19.371	20.013172	20.050543	20.006441	19.681234	19.687584	19.89876	20.38524	19.244982	19.219582	20.431671	20.255585	19.910522	20.102224	19.571108	20.302982	20.009428	20.203922	20.206104	20.414427	19.642687	20.349918	18.95052	19.760946	19.878094	Lysyl-Glycine_2.114	2.114		204.1344			Target		0.0
5-Hydroxy-2-furoic acid_1.474	303486.5	369736.97	549229.2	401523.78	1.0E-5	1.0E-5	408254.62	1.0E-5	515996.8	1.0E-5	1.0E-5	1.0E-5	1.0E-5	369355.75	1.0E-5	342646.6	213039.11	449264.84	273218.38	409381.2	1.0E-5	1.0E-5	408586.12	1.0E-5	1.0E-5	214949.17	1.0E-5	1.0E-5	418894.97	18.211273	18.49614	19.067049	18.615126	-16.60964	-16.60964	18.639109	-16.60964	18.977003	-16.60964	-16.60964	-16.60964	-16.60964	18.494652	-16.60964	18.38636	17.700758	18.777206	18.059694	18.643085	-16.60964	-16.60964	18.64028	-16.60964	-16.60964	17.713636	-16.60964	-16.60964	18.67623	5-Hydroxy-2-furoic acid_1.474	1.474	1.54385	129.0183			Target		0.0
Euchrenone a15_9.125	1.0E-5	1.0E-5	22294.908	1.0E-5	1.0E-5	13371.531	26693.004	1534.327	1.0E-5	8235.46	1.0E-5	6747.43	1.0E-5	8072.861	1.0E-5	29678.283	1.0E-5	9561.191	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	19381.213	531.58154	1.0E-5	1.0E-5	6750.1343	-16.60964	-16.60964	14.444427	-16.60964	-16.60964	13.706877	14.704174	10.58339	-16.60964	13.007634	-16.60964	12.720123	-16.60964	12.978865	-16.60964	14.8571205	-16.60964	13.222974	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	14.242372	9.054147	-16.60964	-16.60964	12.720701	Euchrenone a15_9.125	9.125	9.1849	473.2357	474.2396		Target		0.0
N-(1-Deoxy-1-fructosyl)isoleucine_1.466	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1069287.9	1105542.5	1.0E-5	1334437.0	4933956.5	981842.6	2161320.8	3767263.0	968524.4	1.0E-5	1768210.1	2227816.5	3219075.8	1762945.5	1.0E-5	1.0E-5	802155.25	1.0E-5	2228053.0	1201866.1	1183491.4	5261077.0	1247809.1	1083360.4	1875355.0	-16.60964	-16.60964	-16.60964	-16.60964	20.02822	20.076323	-16.60964	20.3478	22.234314	19.905132	21.043482	21.845085	19.88543	-16.60964	20.753859	21.087198	21.618216	20.749557	-16.60964	-16.60964	19.613522	-16.60964	21.087353	20.196844	20.174618	22.326927	20.250965	20.047083	20.838732	N-(1-Deoxy-1-fructosyl)isoleucine_1.466	1.466		294.155	295.1582	87304-79-8	Target		0.0
Piperideine_1.202	98041.14	153749.4	75382.1	82552.836	110685.49	269349.62	168608.11	92469.48	89496.5	187289.22	115031.74	98982.94	106681.0	139411.02	82886.75	121677.23	180675.81	97904.19	191552.45	149481.48	245031.3	193511.14	86249.45	132261.73	122237.02	129671.37	395634.0	195659.16	138529.52	16.581099	17.23022	16.201933	16.33303	16.756105	18.03912	17.363316	16.49669	16.449543	17.514908	16.811672	16.594893	16.702944	17.088985	16.338854	16.8927	17.463043	16.579084	17.54738	17.189608	17.902607	17.562056	16.396227	17.013035	16.899323	16.9845	18.593807	17.577984	17.079834	Piperideine_1.202	1.202	1.1713333	84.0808			Target		0.0
C345 - 1.057	104104.52	100543.56	195114.05	897909.25	11253.356	8114.4146	158583.89	19661.334	627240.0	18787.398	46957.074	89558.68	20275.934	127740.67	44727.445	115902.05	327166.03	253978.5	234969.53	170436.75	3412.1658	67182.805	238372.11	21439.71	10193.608	135589.97	16903.002	11272.5205	96227.555	16.667673	16.617462	17.573957	19.77621	13.458068	12.986271	17.274887	14.263073	19.25866	14.197477	15.519055	16.450544	14.30748	16.962858	15.448873	16.822546	18.319664	17.954346	17.842113	17.378878	11.736472	16.035805	17.862856	14.387999	13.315377	17.048891	14.044992	13.460522	16.554163	C345 - 1.057	1.057	1.0637	309.1291	292.1033		Target		0.0
1-AMINOCYCLOPROPANE-1-CARBOXYLATE**_1.039	40046.598	53031.887	30424.518	72447.9	22527.541	44527.96	35230.805	16910.361	69090.19	17632.873	18899.156	29796.633	17058.877	39091.594	36502.016	36856.83	64904.105	56027.855	78712.78	32875.47	16918.297	36354.0	53437.285	19494.268	28360.28	45411.41	14497.945	21310.469	22764.656	15.289392	15.694572	14.892946	16.144657	14.459403	15.442424	15.104549	14.045619	16.076195	14.10598	14.206034	14.862862	14.058235	15.254571	15.155689	15.169644	15.986023	15.773856	16.264309	15.004724	14.046296	15.149826	15.705559	14.250762	14.791584	15.470767	13.823561	14.379274	14.474508	1-AMINOCYCLOPROPANE-1-CARBOXYLATE**_1.039	1.039	1.0140333	102.0546		22059-21-8	Target		0.0
C357 - 0.847	136624.62	149953.83	198534.4	131878.84	159574.02	190665.97	144973.98	124685.93	123425.06	142516.48	115721.73	144293.02	136393.77	137461.05	190554.08	156232.7	168391.58	118584.1	135631.22	133121.72	164077.81	169039.53	170465.27	133899.66	170487.67	145974.62	115150.81	177012.62	138564.58	17.059858	17.194159	17.59903	17.008854	17.283865	17.540688	17.145435	16.927938	16.913277	17.12077	16.820301	17.138641	17.057419	17.068663	17.53984	17.253336	17.36146	16.85555	17.04933	17.022387	17.32402	17.367	17.379118	17.030792	17.379307	17.155357	16.813166	17.433493	17.080198	C357 - 0.847	0.847	0.8319	267.0146	268.0158		Target		0.0
5-Hydroxy-L-tryptophan_1.809	949933.1	27089.953	101182.4	1.0E-5	761815.0	37864.188	88046.61	158101.17	72123.766	686723.06	1760392.6	1.0E-5	75055.25	205951.9	35119.285	579054.56	178128.58	717923.8	70862.46	43772.934	47612.816	415638.4	98093.516	39742.605	678994.75	130697.81	101876.195	179887.03	1.0E-5	19.857466	14.72547	16.626598	-16.60964	19.539082	15.208547	16.42598	17.270489	16.138187	19.38937	20.747465	-16.60964	16.195665	17.651949	15.099977	19.14334	17.442558	19.45347	16.112734	15.417752	15.539062	18.664968	16.58187	15.278399	19.373041	16.995876	16.636457	17.456732	-16.60964	5-Hydroxy-L-tryptophan_1.809	1.809	1.8087667	221.0921	222.095		Target		0.0
C366 - 1.132	24181.488	30538.604	5225.806	42485.777	11534.549	31120.924	1.0E-5	5708.683	9794.962	19252.44	19625.322	15163.434	20987.541	40270.83	20364.512	7801.3267	55192.44	6832.747	1.0E-5	43101.95	12230.148	46481.996	33614.676	8015.238	9053.995	10939.505	10384.989	16229.719	9875.946	14.561616	14.898347	12.351438	15.374692	13.493673	14.925597	-16.60964	12.478943	13.257825	14.232753	14.260428	13.888309	14.357245	15.297448	14.313769	12.929504	15.752183	12.73825	-16.60964	15.395466	13.578154	15.504385	15.036803	12.96853	13.144339	13.417259	13.342212	13.98635	13.269704	C366 - 1.132	1.132		85.0285	86.0964		Target		0.0
Leucyl-Hydroxyproline_2.596	1.0E-5	174470.75	330255.28	283035.0	318137.38	114629.83	1.0E-5	44824.645	276759.25	265994.28	1.0E-5	1.0E-5	130665.25	1.0E-5	598990.94	410760.12	263662.44	168584.3	139526.25	284327.62	1.0E-5	84637.3	205358.11	191607.33	342611.28	75568.1	108492.05	142127.92	1.0E-5	-16.60964	17.412626	18.333223	18.11062	18.27929	16.806623	-16.60964	15.452004	18.078272	18.021036	-16.60964	-16.60964	16.995516	-16.60964	19.192175	18.647938	18.008331	17.363111	17.090178	18.117195	-16.60964	16.369005	17.647781	17.547792	18.386213	16.20549	16.72723	17.11683	-16.60964	Leucyl-Hydroxyproline_2.596	2.596	2.5538332	245.1498	246.1485		Target		0.0
Succinoadenosine_6.288	451562.06	654838.06	737971.06	659601.7	650503.7	1093435.5	572821.94	436183.3	644925.2	439382.53	432191.28	374628.53	517650.16	478596.28	1344176.8	514978.06	843496.3	517674.2	824085.1	790392.9	1211841.9	421542.06	932772.1	837173.25	469697.78	615817.25	518990.84	561487.1	568323.94	18.784565	19.320778	19.493204	19.331236	19.311197	20.060436	19.127728	18.734575	19.29877	18.74512	18.72131	18.515102	18.981617	18.868448	20.358292	18.974152	19.686022	18.981686	19.652433	19.59221	20.20877	18.685316	19.831165	19.675165	18.841373	19.232143	18.98535	19.098894	19.116354	Succinoadenosine_6.288	6.288	6.287433	384.1153	385.1186	4542-23-8	Target		0.0
Stachydrine_1.335	71917.65	75078.39	157084.33	86495.96	88865.734	40130.473	1.0E-5	1.0E-5	65657.61	1.0E-5	47514.535	5975.3545	122254.484	52274.168	86430.2	73347.87	1.0E-5	1.0E-5	125931.9	86223.1	54020.445	6166.128	4861.926	54851.113	9448.275	13792.698	62187.92	99374.75	67273.82	16.134058	16.19611	17.261179	16.400345	16.43934	15.292411	-16.60964	-16.60964	16.002674	-16.60964	15.536081	12.544808	16.899529	15.673811	16.399248	16.162468	-16.60964	-16.60964	16.942286	16.395786	15.721217	12.59015	12.247313	15.743233	13.205835	13.751617	15.924347	16.600592	16.037758	Stachydrine_1.335	1.335	1.2872167	144.102		32039-73-9	Target		0.0
Shikonofuran D_8.462	1.0E-5	40965.586	29675.443	1.0E-5	15863.907	1.0E-5	26057.725	1.0E-5	23221.027	30030.271	14817.466	21781.525	50658.246	2019.7411	37993.023	3190.7295	21870.932	1.0E-5	1.0E-5	11925.737	16326.001	37368.504	35355.79	1.0E-5	4444.442	5905.6094	25031.508	25140.492	1.0E-5	-16.60964	15.3221245	14.856981	-16.60964	13.95346	-16.60964	14.669424	-16.60964	14.503144	14.87413	13.855012	14.410817	15.6285095	10.979955	15.213447	11.63967	14.416726	-16.60964	-16.60964	13.541792	13.994884	15.189535	15.109658	-16.60964	12.117786	12.52787	14.611458	14.617726	-16.60964	Shikonofuran D_8.462	8.462		345.1699	346.1734		Target		0.0
4-GUANIDINOBUTANOATE**_1.4	38775.168	25104.19	4443.2563	37243.28	21207.67	6055.915	1.0E-5	11653.282	41909.293	17116.41	23733.041	32688.812	21306.01	43828.6	10582.028	32107.434	40196.17	26251.598	5931.4893	3068.3403	17570.088	24704.037	19269.0	1.0E-5	20853.65	17740.385	25827.977	18435.656	26383.914	15.242846	14.61564	12.117402	15.184692	14.372298	12.564129	-16.60964	13.508449	15.354982	14.063093	14.534609	14.996509	14.378973	15.419584	13.3693285	14.970619	15.29477	14.680117	12.534178	11.583243	14.100834	14.59246	14.2339945	-16.60964	14.348012	14.11475	14.656648	14.170211	14.68737	4-GUANIDINOBUTANOATE**_1.4	1.4	1.4114	146.0926		13890-14-7	Target		0.0
Leucyl-Hydroxyproline_2.237	61280.707	1.0E-5	10769.172	1.0E-5	21979.547	1.0E-5	1.0E-5	48419.316	16971.602	1.0E-5	1.0E-5	17758.309	4611.354	1.0E-5	1.0E-5	1.0E-5	8160.011	1.0E-5	1.0E-5	94129.67	15359.238	1.0E-5	22739.156	32069.443	1.0E-5	14213.412	1.0E-5	59918.344	1.0E-5	15.903145	-16.60964	13.39462	-16.60964	14.423874	-16.60964	-16.60964	15.563294	14.050836	-16.60964	-16.60964	14.116206	12.170974	-16.60964	-16.60964	-16.60964	12.994355	-16.60964	-16.60964	16.522362	13.906818	-16.60964	14.472892	14.968912	-16.60964	13.794965	-16.60964	15.87071	-16.60964	Leucyl-Hydroxyproline_2.237	2.237		245.1488	246.1514		Target		0.0
Vernoflexuoside_4.66	7470496.0	8276507.5	4558506.5	4993605.5	4848389.0	5836217.0	7483932.5	6728164.5	4925611.5	4471410.0	4762000.0	5936589.0	7060667.0	6103187.0	6407297.5	6281790.0	7107991.5	2960416.8	9072195.0	9160898.0	5241218.5	6059274.0	7971492.0	8176058.0	4705729.0	7166967.0	6929744.0	6176747.5	4236953.5	22.832773	22.98059	22.120129	22.25165	22.209074	22.476603	22.835365	22.681782	22.23187	22.092299	22.183136	22.501204	22.751373	22.541132	22.611284	22.582745	22.761011	21.49737	23.11302	23.127058	22.321472	22.530714	22.926418	22.962973	22.165987	22.772932	22.724371	22.558414	22.014595	Vernoflexuoside_4.66	4.66	4.66485	409.1876	410.1903	57576-33-7	Target		0.0
C453 - 8.762	5414.4253	23093.076	1.0E-5	1.0E-5	1.0E-5	9862.809	1.0E-5	1193.2235	5391.7344	11463.077	13536.502	1.0E-5	15465.966	7989.447	20178.682	14552.483	13513.175	1.0E-5	7566.689	1.0E-5	11422.267	1.0E-5	1.0E-5	27785.316	1.0E-5	10418.983	24838.178	12817.231	17238.062	12.402592	14.4951725	-16.60964	-16.60964	-16.60964	13.267783	-16.60964	10.220648	12.396534	13.484707	13.724567	-16.60964	13.91681	12.963881	14.300545	13.828978	13.722078	-16.60964	12.885447	-16.60964	13.479561	-16.60964	-16.60964	14.762034	-16.60964	13.346927	14.600272	13.645797	14.07331	C453 - 8.762	8.762	8.7627	455.2252	456.2285		Target		0.0
Subaphyllin_6.307	122956.77	284990.03	56047.266	115647.59	68733.83	187527.16	83594.516	4724.78	736.1147	4287.564	1353.1979	1.0E-5	98102.09	64712.84	79916.05	5172.0845	1196.4912	3785.754	93588.59	114496.78	57760.19	1.0E-5	440.44846	147639.58	594.80853	1.0E-5	144634.34	32474.486	1.0E-5	16.907791	18.120552	15.774356	16.819376	16.068733	17.516739	16.351122	12.206031	9.523787	12.065942	10.402158	-16.60964	16.581997	15.981765	16.286198	12.33653	10.224594	11.886365	16.514046	16.804947	15.817788	-16.60964	8.782829	17.17172	9.216281	-16.60964	17.14205	14.98702	-16.60964	Subaphyllin_6.307	6.307		265.1543	266.1576	501-13-3	Target		0.0
1-Fluorocyclohexadiene-cis,cis-1,2-diol_2.279	226173.31	365835.56	130394.37	370484.47	730713.75	933305.2	654021.8	644938.06	687313.0	706412.6	544063.44	1957756.6	540057.1	154709.89	686636.2	370099.2	1099661.0	688744.44	321225.38	300455.2	188007.61	868711.1	663670.8	695999.94	1.0E-5	680888.94	326717.2	644795.4	659703.94	17.78707	18.480837	16.992521	18.499054	19.478947	19.83199	19.31898	19.298801	19.390608	19.430151	19.053415	20.90077	19.042753	17.239206	19.389187	18.497553	20.068628	19.39361	18.293226	18.19679	17.520432	19.728516	19.340109	19.408728	-16.60964	19.37706	18.317682	19.298481	19.331459	1-Fluorocyclohexadiene-cis,cis-1,2-diol_2.279	2.279	2.2723668	131.0494	132.053		Target		0.0
Psicofuranine_5.828	597948.9	775569.6	759864.8	393842.25	643523.3	399666.38	332849.4	370700.6	475173.72	405271.7	458106.22	620409.25	324219.25	346130.53	634946.1	437826.47	434859.3	450038.72	425800.9	603851.44	542508.44	442704.2	788664.0	819615.44	461965.0	694963.1	627817.4	671907.4	549938.6	19.189663	19.564896	19.535383	18.58726	19.295633	18.608437	18.344511	18.499895	18.858095	18.628529	18.805323	19.24286	18.30661	18.400957	19.276276	18.74	18.730188	18.77969	18.69982	19.203835	19.049286	18.755983	19.58905	19.644588	18.817425	19.406578	19.259985	19.357903	19.06891	Psicofuranine_5.828	5.828	5.8238335	298.1149	299.1179	1874-54-0	Target		0.0
C473 - 1.474	197936.2	16729.965	376010.7	268753.44	1.0E-5	1.0E-5	273106.06	1.0E-5	335662.88	1.0E-5	1.0E-5	1.0E-5	1.0E-5	231206.45	1.0E-5	217838.2	131535.38	295661.7	176820.5	274116.97	1.0E-5	1.0E-5	264678.28	1.0E-5	1.0E-5	147976.7	1.0E-5	1.0E-5	295033.1	17.594675	14.030147	18.520414	18.035923	-16.60964	-16.60964	18.059101	-16.60964	18.356653	-16.60964	-16.60964	-16.60964	-16.60964	17.818823	-16.60964	17.732897	17.00509	18.173588	17.431927	18.064432	-16.60964	-16.60964	18.01388	-16.60964	-16.60964	17.17501	-16.60964	-16.60964	18.170517	C473 - 1.474	1.474	1.5273	139.0026			Target		0.0
Tyrosyl-Threonine_5.809	41825.22	88791.39	61276.723	39467.59	28879.777	86304.55	41886.633	1.0E-5	5348.722	1.0E-5	1.0E-5	3159.2085	1.0E-5	26119.82	60698.137	1.0E-5	1.0E-5	1.0E-5	1.0E-5	56050.21	82521.78	1.0E-5	1.0E-5	91408.39	1.0E-5	18089.324	48638.76	26641.873	4005.5894	15.352085	16.438131	15.903051	15.26838	14.817772	16.39715	15.354202	-16.60964	12.384978	-16.60964	-16.60964	11.625347	-16.60964	14.672856	15.889364	-16.60964	-16.60964	-16.60964	-16.60964	15.774431	16.332487	-16.60964	-16.60964	16.48004	-16.60964	14.142852	15.569819	14.701408	11.967799	Tyrosyl-Threonine_5.809	5.809		283.1291	284.1322		Target		0.0
trans-Aconitic acid_1.49	1.0E-5	1.0E-5	1.0E-5	111066.51	1.0E-5	1.0E-5	1.0E-5	1.0E-5	175057.58	1.0E-5	1.0E-5	1.0E-5	5685.353	117626.17	1.0E-5	1.0E-5	61922.074	134297.5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	71503.94	1.0E-5	1.0E-5	73432.42	1733.0183	1.0E-5	1.0E-5	-16.60964	-16.60964	-16.60964	16.761065	-16.60964	-16.60964	-16.60964	-16.60964	17.41747	-16.60964	-16.60964	-16.60964	12.473035	16.84385	-16.60964	-16.60964	15.918166	17.035072	-16.60964	-16.60964	-16.60964	-16.60964	16.125734	-16.60964	-16.60964	16.16413	10.759071	-16.60964	-16.60964	trans-Aconitic acid_1.49	1.49	1.54385	175.024		4023-65-8	Target		0.0
N-(1-Deoxy-1-fructosyl)valine_1.189	483931.7	481613.7	387039.94	963942.6	88425.91	214174.3	445880.28	127247.695	917911.3	96425.79	321169.34	724306.8	201906.84	460132.5	368578.03	422291.1	589257.0	372610.3	548614.94	584046.1	98232.695	389838.16	392686.0	219450.69	238732.77	1115940.5	112753.53	107044.69	491092.12	18.884443	18.877518	18.562122	19.878588	16.432182	17.708426	18.766296	16.957281	19.807997	16.55713	18.292974	19.466242	17.623331	18.81169	18.49161	18.687878	19.168537	18.507307	19.065434	19.155724	16.583916	18.572515	18.583017	17.743536	17.865038	20.089828	16.782812	16.707853	18.905634	N-(1-Deoxy-1-fructosyl)valine_1.189	1.189	1.2127167	280.1396	281.1428		Target		0.0
Cinnamic acid_2.278	196902.36	648842.75	434382.44	588386.4	705950.8	660992.3	144506.45	605035.9	618245.7	677817.75	1567986.0	1788364.9	876299.25	142693.14	652197.75	653188.8	975103.7	574553.6	139460.94	284561.3	167883.58	839370.56	553143.5	681826.7	1108065.4	656903.94	416979.2	764220.3	629224.3	17.58712	19.30751	18.728607	19.166405	19.429207	19.334274	17.140774	19.206661	19.237822	19.370539	20.58048	20.77021	19.741064	17.122557	19.31495	19.31714	19.895197	19.132082	17.089502	18.11838	17.357101	19.678947	19.077293	19.379045	20.07961	19.325323	18.669615	19.543629	19.263216	Cinnamic acid_2.278	2.278	2.2640834	149.06	150.0631	140-10-3	Target		0.0
N-Acetylglutamic acid_2.102	49900.12	50373.89	35329.242	82063.43	26764.26	153251.9	80960.19	32558.63	56723.16	13552.539	50953.965	58432.016	47806.637	51725.24	81042.95	30136.682	57297.9	42435.195	80290.914	97614.09	42879.777	47802.2	42250.15	51522.516	36265.656	102184.28	48351.4	21946.76	68657.91	15.606755	15.620389	15.108576	16.324451	14.708019	17.225546	16.304926	14.990752	15.791651	13.726275	15.636906	15.834472	15.544923	15.65858	16.306398	14.879233	15.806195	15.372973	16.29295	16.574802	15.38801	15.544789	15.366669	15.652916	15.146317	16.640814	15.56127	14.4217205	16.067139	N-Acetylglutamic acid_2.102	2.102	2.1150668	212.0529	190.0709	1188-37-0	Target		0.0
gamma-Glutamyl-valine_1.783	5070.038	1806.0781	1.0E-5	3542.785	619532.1	5232.7373	2423.8176	505708.72	1658.0717	164521.05	414030.47	27016.826	642436.4	714.4027	1894.6888	2902.1523	1.0E-5	1.0E-5	3246.8074	1.0E-5	329626.16	32639.959	1.0E-5	539378.5	507704.6	1.0E-5	368999.44	364567.0	6952.1826	12.30778	10.818645	-16.60964	11.7906685	19.24082	12.35335	11.243065	18.947948	10.695291	17.327913	18.659378	14.72157	19.293194	9.480594	10.887745	11.502908	-16.60964	-16.60964	11.664805	-16.60964	18.330471	14.994351	-16.60964	19.040937	18.95363	-16.60964	18.49326	18.475824	12.76325	gamma-Glutamyl-valine_1.783	1.783	1.8087667	247.1285	248.1317		Target		0.0
Oxyquinoline_4.671	1317711.1	796899.5	1139635.4	768640.94	749822.1	965847.1	1088142.4	1056604.1	824518.25	738966.9	818686.8	1051518.1	676678.2	1189362.8	1194760.9	932812.3	1261665.9	717643.56	751068.4	845081.9	904518.3	1131992.9	1044642.56	743089.9	856899.44	1241038.2	1157479.6	1183824.2	763858.6	20.329603	19.604038	20.12014	19.55195	19.51619	19.881435	20.053436	20.011003	19.653193	19.49515	19.642952	20.004042	19.36811	20.181757	20.188292	19.831226	20.266897	19.452908	19.518585	19.688732	19.786789	20.110434	19.994577	19.503176	19.708765	20.243116	20.142555	20.175024	19.542946	Oxyquinoline_4.671	4.671	4.66485	146.0601	147.0631	148-24-3	Target		0.0
N-(1-Deoxy-1-fructosyl)tyrosine_1.837	697379.9	237624.88	721348.1	1685506.2	394728.03	1.0E-5	1027945.0	640351.6	2289068.0	204159.95	692845.9	263108.03	424649.5	965320.7	714464.2	903244.7	1078793.9	640611.4	713575.8	801068.94	146218.95	152791.88	670804.6	491221.22	502702.2	3195975.8	110631.15	208348.9	909330.9	19.411585	17.858326	19.460337	20.684752	18.5905	-16.60964	19.97133	19.288506	21.12633	17.63934	19.402174	18.005295	18.695913	19.880648	19.446503	19.784758	20.040989	19.28909	19.444706	19.611567	17.15777	17.221209	19.355534	18.906013	18.939344	21.607824	16.755398	17.668642	19.794447	N-(1-Deoxy-1-fructosyl)tyrosine_1.837	1.837	1.8418833	344.1335	345.1363	34393-22-1	Target		0.0
3-Methylglutaconic acid_2.213	22331.076	50230.883	38810.285	15570.925	26655.775	23933.508	4587.409	15523.837	45880.363	3285.319	3939.981	34369.402	26633.86	51878.836	25263.072	23283.412	27638.049	1.0E-5	1.0E-5	34619.316	7708.1724	17705.324	1.0E-5	30570.346	9962.93	42354.145	14936.109	14851.051	15023.464	14.446766	15.616287	15.244151	13.926567	14.702161	14.546743	12.163464	13.922197	15.485589	11.681818	11.943974	15.068838	14.7009735	15.662859	14.6247425	14.507014	14.754368	-16.60964	-16.60964	15.07929	12.912172	14.1118965	-16.60964	14.899845	13.282355	15.370216	13.866517	13.858278	13.87493	3-Methylglutaconic acid_2.213	2.213		145.0485	289.0894	5746-90-7	Target		0.0
alpha-Aminoadipic acid_1.728	14344.755	28508.604	41391.914	52177.33	61069.07	35128.164	60533.145	40459.918	18553.17	58208.066	57322.54	60134.227	50653.42	28625.36	12060.429	28181.299	8031.0957	68721.24	98798.99	33082.89	76812.19	81350.266	36609.008	34331.297	1.0E-5	24366.643	39635.023	39755.3	37809.04	13.808235	14.799109	15.337062	15.671135	15.898154	15.100341	15.885438	15.304206	14.179378	15.828931	15.806815	15.875898	15.628371	14.805007	13.557994	14.782451	12.971381	16.068468	16.592209	15.013798	16.229048	16.31186	15.159911	15.067236	-16.60964	14.572619	15.2744875	15.27886	15.206443	alpha-Aminoadipic acid_1.728	1.728	1.6928667	162.0759		542-32-5	Target		0.0
gamma-Glutamyl-valine_2.083	367636.44	238879.64	325229.5	275635.94	195818.73	480890.8	327425.56	189509.34	261558.92	148343.2	157455.3	388281.16	285872.12	243486.83	367834.25	241273.19	248822.28	264972.56	312683.5	388929.72	135120.42	376350.22	256396.92	231055.72	166401.95	494732.5	228045.58	192679.1	262223.22	18.48792	17.865923	18.311098	18.072405	17.57916	18.87535	18.320807	17.53191	17.996777	17.17858	17.264584	18.566742	18.125011	17.893484	18.488697	17.880308	17.924755	18.015484	18.254343	18.569149	17.043886	18.521715	17.96802	17.81788	17.344313	18.916288	17.798964	17.55584	18.000437	gamma-Glutamyl-valine_2.083	2.083	2.12335	247.1288	248.1313		Target		0.0
